supplier_id,supplier_name,country,city,industry_type
S319,Dragon Epsilon Trading,South Korea,Changwon,Apparel
S320,Gamma Lion Systems,Taiwan,Hsinchu,Shipping
S321,Trusted Zeta Solutions,India,Ahmedabad,Hardware
S322,Theta Modern Inc,Canada,Edmonton,Mining
S323,Precision Trusted International,Germany,Munich,Fishing
S324,Lion Ocean Co,France,Lille,Mining
S325,Future Digital International,Germany,Essen,Mining
S326,Sun Eta Group,Japan,Tokyo,Construction
S327,Omega River Enterprises,France,Marseille,Rubber
S328,United Omega International,Vietnam,Hanoi,Jewelry
S329,Delta Dragon International,Mexico,Nezahualcóyotl,Wood & Paper
S330,Mountain Premium Ventures,France,Lyon,Textiles
S331,Omega Precision Manufacturing,Germany,Cologne,Medical Devices
S332,Technical Next Global,Mexico,Mexico City,Automotive
S333,Federal Valley Group,Canada,Winnipeg,Shipping
S334,Premium Trusted Co,Germany,Essen,Furniture
S335,Zeta Standard Technologies,Germany,Leipzig,Plastics
S336,Valley Professional Distributors,Vietnam,Can Tho,Automotive
S337,Creative Theta Group,Taiwan,Changhua,Agriculture
S338,Phoenix Continental Corp,UK,Leicester,Apparel
S339,Vision Next Inc,Australia,Sydney,Agriculture
S340,Sustainable Apollo Inc,Australia,Adelaide,Construction
S341,Professional Moon Manufacturing,South Korea,Ulsan,Food & Beverage
S342,Technical Vision Enterprises,France,Marseille,Furniture
S343,Lion Green Supply,Germany,Cologne,Hardware
S344,Federal Pegasus Enterprises,Vietnam,Ho Chi Minh City,Sports Equipment
S345,Premium Ocean Group,Vietnam,Nha Trang,Aerospace
S346,Digital Eta Systems,Italy,Florence,Apparel
S347,Superior Beta Distributors,China,Nanjing,Rubber
S348,Eta First Systems,Japan,Saitama,Logistics
S349,Universal Beta Distributors,Germany,Frankfurt,Rubber
S350,Moon Central Corp,Taiwan,Taoyuan,Shipping
S351,Precision Trusted Global,India,Bangalore,Toys
S352,Pacific Star Corp,Taiwan,Tainan,Logistics
S353,Reliable Phoenix Enterprises,China,Wuhan,Jewelry
S354,Sun Sigma Co,Japan,Kawasaki,Construction
S355,Modern Technical Solutions,Vietnam,Da Nang,Manufacturing
S356,Alpha Excel Solutions,China,Guangzhou,Jewelry
S357,United Green Inc,Brazil,Rio de Janeiro,Shipping
S358,Apollo Earth Group,Australia,Brisbane,Textiles
S359,Prime Lion Co,Mexico,Monterrey,Shipping
S360,Standard Prime International,UK,Leeds,Furniture
S361,Moon Reliable Enterprises,South Korea,Busan,Automotive
S362,Atlantic Beta Enterprises,Vietnam,Hanoi,Shipping
S363,Sun Worldwide Corp,Canada,Winnipeg,Pharmaceuticals
S364,Creative Superior Supply,Taiwan,Taipei,Logistics
S365,Earth Standard Global,Australia,Sydney,Oil & Gas
S366,Ocean Premium Ltd,Canada,Winnipeg,Rubber
S367,Continental Apollo Supply,Australia,Canberra,Telecom
S368,Omega Creative Distributors,India,Chennai,Manufacturing
S369,Modern Future Manufacturing,India,Pune,Shipping
S370,Sigma Digital Systems,Mexico,Tijuana,Manufacturing
S371,Theta Atlantic Technologies,Japan,Sapporo,Pharmaceuticals
S372,Ocean Central Distributors,UK,Bristol,Hardware
S373,New Orion International,Vietnam,Ho Chi Minh City,Toys
S374,Quality Eco Industries,China,Guangzhou,Sports Equipment
S375,Strategic Dynamic Enterprises,Canada,Winnipeg,Shipping
S376,Innovative Sigma Systems,China,Tianjin,Mining
S377,Gamma Zeta Group,Germany,Dortmund,Semiconductors
S378,Smart Gamma Group,Vietnam,Hanoi,Aerospace
S379,Worldwide Future Technologies,Canada,Winnipeg,Food & Beverage
S380,First Central Ventures,Taiwan,Changhua,Logistics
S381,Lion Continental Group,Vietnam,Can Tho,Textiles
S382,First Lion Technologies,France,Bordeaux,Furniture
S383,Sigma Pegasus Technologies,Germany,Berlin,Food & Beverage
S384,Worldwide Orion Ventures,Brazil,Fortaleza,Electronics
S385,Trusted Ocean Ventures,France,Lyon,Software
S386,Eco Sigma Systems,India,Surat,Renewable Energy
S387,Mountain Lion Trading,Mexico,Zapopan,Agriculture
S388,Tiger Epsilon Supply,USA,Houston,Wood & Paper
S389,Premium Vision Co,Germany,Berlin,Electronics
S390,Technical Omega Supply,Taiwan,Tainan,Automotive
S391,Ocean Star Ventures,Italy,Catania,Wood & Paper
S392,Technical Superior Trading,Germany,Munich,Construction
S393,Prime Ocean Corp,Canada,Toronto,Renewable Energy
S394,Alpha Sun Group,Canada,Montreal,Software
S395,Moon Theta International,Vietnam,Bien Hoa,Mining
S396,United Modern Ventures,Mexico,Tijuana,Mining
S397,Creative Federal Co,USA,Chicago,Automotive
S398,River First Inc,USA,New York,Renewable Energy
S399,Zeta Pegasus Group,South Korea,Ulsan,Textiles
S400,Innovative Omega Solutions,Japan,Saitama,Electronics
S401,Advanced Modern Industries,Japan,Kawasaki,Chemicals
S402,Professional Future Ventures,Mexico,León,Jewelry
S403,Elite Central Ltd,Japan,Tokyo,Rubber
S404,Tiger Professional Global,China,Shanghai,Shipping
S405,Innovative Valley Ltd,Italy,Turin,Semiconductors
S406,Strategic Smart Global,Australia,Sydney,Automotive
S407,Star Alpha International,Australia,Wollongong,Oil & Gas
S408,Star Theta Industries,India,Hyderabad,Logistics
S409,Standard Sigma Inc,South Korea,Daegu,Manufacturing
S410,Sigma Strategic Manufacturing,Mexico,Tijuana,Automotive
S411,Tiger Moon Co,Taiwan,Taipei,Plastics
S412,Beta Smart Co,USA,Philadelphia,Pharmaceuticals
S413,Creative Digital Supply,Canada,Vancouver,Shipping
S414,Pegasus Vision Ventures,Vietnam,Haiphong,Agriculture
S415,Delta Eagle Enterprises,Germany,Cologne,Software
S416,Prime Sun Technologies,Vietnam,Nha Trang,Automotive
S417,Elite Prime Group,Australia,Adelaide,Apparel
S418,Technical Alpha Global,Vietnam,Ho Chi Minh City,Chemicals
S419,Next Excel Distributors,Germany,Dortmund,Plastics
S420,Orion First Trading,Mexico,Puebla,Apparel
S421,New Pegasus Inc,Italy,Catania,Rubber
S422,First Eta Inc,South Korea,Seoul,Furniture
S423,Moon Premium Supply,France,Lille,Shipping
S424,Star Pacific Industries,Australia,Hobart,Textiles
S425,Moon Trusted Trading,Canada,Toronto,Mining
S426,Pegasus Eco Distributors,Japan,Yokohama,Pharmaceuticals
S427,Standard Superior Enterprises,China,Tianjin,Plastics
S428,Alpha Dynamic Enterprises,Germany,Essen,Steel & Metals
S429,United Vision Manufacturing,USA,Los Angeles,Automotive
S430,Smart Technical Co,Brazil,Belo Horizonte,Plastics
S431,Digital Standard Group,Vietnam,Nha Trang,Food & Beverage
S432,Modern Sun Corp,India,Surat,Toys
S433,Eco Apollo International,India,Jaipur,Wood & Paper
S434,Advanced Future Ltd,Australia,Canberra,Renewable Energy
S435,Strategic River Ltd,India,Mumbai,Jewelry
S436,Mountain Innovative Ventures,Taiwan,Changhua,Toys
S437,Dragon Gamma Distributors,Vietnam,Hue,Pharmaceuticals
S438,Pegasus Eta Enterprises,UK,Manchester,Rubber
S439,Ocean Earth Distributors,South Korea,Seongnam,Sports Equipment
S440,Beta Strategic Manufacturing,India,Mumbai,Renewable Energy
S441,Central Dynamic Ventures,Brazil,Fortaleza,Renewable Energy
S442,Worldwide Superior Manufacturing,France,Montpellier,Wood & Paper
S443,Reliable Sigma Inc,USA,Los Angeles,Food & Beverage
S444,Central Eta Systems,India,Jaipur,Furniture
S445,Eco Pacific Trading,Germany,Düsseldorf,Software
S446,Standard Moon Co,Mexico,Juárez,Shipping
S447,Valley Ocean International,Brazil,Fortaleza,Software
S448,Lion Dragon International,India,Delhi,Furniture
S449,Sigma Continental Group,Germany,Munich,Telecom
S450,Tiger Premium Trading,India,Kolkata,Medical Devices
S451,Moon Atlantic Inc,Australia,Newcastle,Jewelry
S452,Professional Omega Inc,Germany,Stuttgart,Textiles
S453,Professional Orion Technologies,Italy,Milan,Semiconductors
S454,Quality Trusted Enterprises,Germany,Düsseldorf,Manufacturing
S455,Star Lion Ltd,Australia,Newcastle,Plastics
S456,Alpha Ocean Supply,Taiwan,Chiayi,Telecom
S457,Delta Dragon Trading,Vietnam,Ho Chi Minh City,Shipping
S458,Worldwide Beta International,Germany,Düsseldorf,Mining
S459,Lion United Group,Brazil,Manaus,Electronics
S460,Atlantic Technical International,Mexico,Mexico City,Semiconductors
S461,Gamma Continental Trading,China,Shenzhen,Textiles
S462,Sustainable First Ltd,China,Wuhan,Manufacturing
S463,Worldwide Trusted Group,Brazil,São Paulo,Pharmaceuticals
S464,Eagle Superior Supply,Canada,Toronto,Hardware
S465,Gamma Epsilon Technologies,South Korea,Seoul,Electronics
S466,Moon Phoenix Global,Italy,Rome,Toys
S467,Dynamic Next Enterprises,France,Lille,Renewable Energy
S468,National River Supply,Brazil,Manaus,Renewable Energy
S469,Dynamic Apollo Distributors,South Korea,Changwon,Wood & Paper
S470,Smart Theta Solutions,South Korea,Gwangju,Logistics
S471,Atlantic Premium Industries,India,Pune,Aerospace
S472,Dragon First Co,Mexico,Juárez,Apparel
S473,Superior Valley Systems,South Korea,Ulsan,Food & Beverage
S474,Superior Strategic Ltd,France,Toulouse,Manufacturing
S475,Modern New Manufacturing,India,Pune,Shipping
